iter	RMSE
0	54.77736617
1	49.36327956
2	44.49054938
3	40.12899798
4	36.20029299
5	32.66812125
6	29.49753872
7	26.66041289
8	24.09124454
9	21.75614566
10	19.68874185
11	17.80205195
12	16.13296275
13	14.62041273
14	13.2707612
15	12.06590618
16	11.00179624
17	10.0258858
18	9.15909395
19	8.417233025
20	7.737028958
21	7.133094187
22	6.606219469
23	6.147086117
24	5.738500245
25	5.383696965
26	5.067585924
27	4.810639546
28	4.588766927
29	4.389826746
30	4.235678961
31	4.091107006
32	3.976083099
33	3.871476173
34	3.791942293
35	3.730713743
36	3.666519831
37	3.609203564
38	3.563228146
39	3.52638332
40	3.500629051
41	3.467592917
42	3.446024002
43	3.427174274
44	3.402966368
45	3.392937726
46	3.384774794
47	3.379039126
48	3.369637794
49	3.35535622
