iter	Passed	Remaining
0	60	2942
1	107	2575
2	157	2470
3	204	2350
4	255	2303
5	326	2394
6	381	2342
7	442	2324
8	490	2235
9	545	2182
10	610	2163
11	661	2096
12	710	2021
13	765	1968
14	840	1962
15	889	1890
16	941	1828
17	1005	1788
18	1058	1726
19	1109	1664
20	1161	1603
21	1223	1557
22	1284	1508
23	1336	1448
24	1388	1388
25	1444	1333
26	1502	1279
27	1552	1219
28	1605	1162
29	1667	1111
30	1727	1058
31	1780	1001
32	1829	942
33	1885	887
34	1966	842
35	2027	788
36	2095	736
37	2168	684
38	2229	628
39	2293	573
40	2352	516
41	2402	457
42	2454	399
43	2531	345
44	2607	289
45	2664	231
46	2714	173
47	2763	115
48	2814	57
49	2882	0
