username,latitude,longitude,noise_value,timestamp,tolerance_level,noise_category,region_category,aqi_value
Abhimanyu,22.49852833,88.38352833,32.6,21-01-2018 02:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49860667,88.38352167,59.8,21-01-2018 02:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49864333,88.3835,60.1,21-01-2018 02:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49871333,88.38355333,60.8,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49877,88.38360333,56.3,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49877667,88.383675,54.5,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49876333,88.38371667,51.5,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49878333,88.38377333,51.1,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49881667,88.38382667,60.3,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49883,88.38383333,69.3,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49883,88.38383333,65.4,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49897333,88.38386,62.9,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.499025,88.38386167,68.8,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49909667,88.38387667,66.5,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49915167,88.38388833,69.8,21-01-2018 02:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.4992,88.38387667,64.6,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49925333,88.38386,64.2,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49938333,88.383765,65,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49942,88.38374833,66.7,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49950333,88.38374333,62.9,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49955167,88.38377,63.3,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49952667,88.38379833,65.5,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49951833,88.38379667,68.7,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.499585,88.38383667,68.1,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49964333,88.38386333,64.7,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49970833,88.38390667,62.6,21-01-2018 02:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.49975333,88.38394,66.7,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.49975667,88.38393833,65.2,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.49975333,88.383955,60.1,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.49977333,88.38396667,59.4,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.49987167,88.38397333,61.5,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.49996167,88.38394333,56.4,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50005667,88.38393167,53.7,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.500185,88.38392667,55.1,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50030833,88.38389667,56.2,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50040833,88.38390667,60.6,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50048833,88.38394,65.5,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50059333,88.38394333,59.1,21-01-2018 02:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50068333,88.38395667,59.4,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50075167,88.38394667,62.5,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50075,88.38397167,52.9,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50085333,88.38396333,54.2,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50092667,88.38401,54.4,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50101667,88.384065,63.1,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50109333,88.38408,61.4,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50111333,88.38411333,60.1,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50114167,88.38413833,59.2,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50119333,88.38413833,62.5,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50120333,88.38413167,61.7,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50120333,88.38412667,62.3,21-01-2018 02:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50120333,88.38412667,59.9,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50123833,88.38412833,63.9,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50128333,88.38415,58.3,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.501345,88.38417167,62.9,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50146,88.38419667,54.2,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50164,88.38423167,56.6,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50171667,88.38425167,59.8,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50182,88.38425833,57.4,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50192667,88.38427167,62.6,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50202333,88.38427,63.1,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50206667,88.384275,62.5,21-01-2018 02:06,Normal,Traffic,Street/Road,0
Abhimanyu,22.50212,88.384275,62.5,21-01-2018 02:07,Normal,Traffic,Street/Road,0
Abhimanyu,22.50218,88.38424,62.7,21-01-2018 02:07,Normal,Traffic,Street/Road,0
Abhimanyu,22.502175,88.38420667,61.8,21-01-2018 02:07,Normal,Traffic,Street/Road,0
Abhimanyu,22.50224833,88.38413833,58.3,21-01-2018 02:07,Normal,Traffic,Street/Road,0
Abhimanyu,22.50222,88.38401833,60.8,21-01-2018 02:07,Normal,Traffic,Street/Road,0
Abhimanyu,22.50222167,88.38390167,56.8,21-01-2018 02:07,Normal,Traffic,Street/Road,0
Abhimanyu,22.50221667,88.38383167,55.3,21-01-2018 02:07,Normal,Traffic,Street/Road,0
Abhimanyu,22.50221167,88.38378333,54.8,21-01-2018 02:07,Normal,Traffic,Street/Road,0
Abhimanyu,22.50221,88.38371833,59.1,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50223333,88.383605,62.1,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50224167,88.383495,60.8,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50224,88.38341833,62.3,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50223667,88.38339,60.7,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50224667,88.383355,68.8,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50225167,88.38330833,68.7,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50225667,88.38326167,67.9,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50224833,88.38322333,69.3,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50224833,88.38316833,65.7,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50224167,88.38311,65.3,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50224,88.38303667,59.2,21-01-2018 02:08,Normal,Traffic,Street/Road,0
Abhimanyu,22.50229333,88.38295,65.4,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.502275,88.38288667,60.7,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.502285,88.38281167,63.2,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50227,88.38274,61.1,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50227167,88.382665,60.9,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50228167,88.38256667,65.8,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50226833,88.382475,63,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50225833,88.38236,60.1,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50226,88.382235,65.4,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50223667,88.38211667,64.3,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50223667,88.382005,62.3,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50224833,88.38192167,61.1,21-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.50230167,88.381885,56.2,21-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.50233167,88.38186,61.8,21-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.50236,88.38182167,64.2,21-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.50240833,88.381815,67.3,21-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.50241667,88.38181833,66.4,21-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.50241667,88.38181667,65.9,21-01-2018 02:10,Normal,Traffic,Street/Road,0
