username,latitude,longitude,noise_value,date_time,tolerance_level,noise_category,region_category,aqi_value
Abhimanyu,22.49849333,88.38347833,26.5,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49856167,88.38351333,61.6,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49861167,88.38355333,65.3,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49865333,88.383605,62.4,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.498705,88.38372333,56.3,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49873667,88.38384167,57.6,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49878,88.383915,61.6,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49881833,88.38397667,50.3,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49886667,88.38402833,52.4,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49892,88.38401,50.4,21-01-2018 06:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49896833,88.38398833,49.6,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49897833,88.38396333,53.9,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49897833,88.38396333,53,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.499055,88.38394833,52.5,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49913667,88.38389333,57,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49918667,88.38381833,53.3,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49922167,88.38376667,57.2,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.499245,88.38375167,60.2,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49928333,88.38370833,58.7,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49928833,88.38369667,54.9,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49928833,88.38369667,52.6,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49928833,88.38369667,51.1,21-01-2018 06:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49935,88.38383333,46.6,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49937333,88.38393667,47.8,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49948833,88.38399833,50.8,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49959667,88.38402667,49.4,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49968667,88.38403,45.9,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49979667,88.38403,53.9,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49989833,88.38401,50.3,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.49998,88.38397333,47.5,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.500065,88.38389,40.7,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.50017333,88.383835,39.9,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.50022,88.38381833,39.8,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.50029667,88.38382333,44.2,21-01-2018 06:02,Normal,Traffic,Street/Road,0
Abhimanyu,22.50039667,88.38382333,41,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.500455,88.38391167,39.5,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50051,88.383935,38.9,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50053,88.38391833,39.4,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50054,88.38395833,33.3,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50055167,88.38396167,37.9,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50056833,88.38395,37.8,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.500585,88.38398833,38.6,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50065667,88.38402167,46.8,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50070667,88.38404833,41.6,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50076833,88.38407333,41.1,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50085667,88.38408167,39.2,21-01-2018 06:03,Normal,Traffic,Street/Road,0
Abhimanyu,22.50094833,88.384125,46.9,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50103333,88.384165,50.3,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50113,88.38419,43.2,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50122,88.38421,38.9,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50130167,88.38426167,42.2,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50142,88.384265,44,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50152,88.38428833,40.5,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50162333,88.38430333,40.6,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50171,88.38431667,48.2,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.501775,88.384355,40.7,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.501815,88.38431,37.7,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50188667,88.38427333,40.3,21-01-2018 06:04,Normal,Traffic,Street/Road,0
Abhimanyu,22.50194833,88.38428,39.3,21-01-2018 06:05,Normal,Traffic,Street/Road,0
Abhimanyu,22.50200333,88.38424,38.3,21-01-2018 06:05,Normal,Traffic,Street/Road,0
